completion_all_done|All done!
completion_thats_it|That's it!
completion_finished|Finished!
completion_ready|Ready!
completion_building_ready|Building ready!
completion_done|Done!
completion_unit_ready|Unit ready!
completion_crafting_complete|Crafting complete!
completion_objective_complete|Objective complete!
completion_construction_complete|Construction complete!
completion_finished_growing|Finished growing!
confirmation_yes|Yes.
confirmation_affirmative|Affirmative.
confirmation_roger_that|Roger that.
confirmation_copy_that|Copy that.
confirmation_confirmed|Confirmed.
confirmation_acknowledged|Acknowledged.
confirmation_understood|Understood.
confirmation_got_it|Got it.
confirmation_gotcha|Gotcha.
confirmation_alright|Alright.
confirmation_alrighty|Alrighty.
confirmation_okay|Okay.
confirmation_definitely|Definitely.
confirmation_certainly|Certainly.
confirmation_sure|Sure.
confirmation_on_it|On it.
confirmation_on_my_way|On my way.
confirmation_you_got_it|You got it!
confirmation_great|Great!
confirmation_lets_go|Let's go!
greeting_hello|Hello.
greeting_hi|Hi
greeting_greetings|Greetings.
greeting_hey|Hey.
greeting_whats_up|What's up?
greeting_hows_it_going|How's it going.
greeting_how_are_you|How are you?
greeting_yo|Yo.
greeting_welcome|Welcome.
farewell_goodbye|Goodbye.
farewell_see_you_later|See you later.
farewell_see_ya|See ya.
farewell_bye|Bye.
farewell_see_you|See you.
farewell_later|Later.
farewell_adios|Adios.
farewell_take_care|Take care.
farewell_farewell|Farewell.
farewell_good_luck|Good luck.
farewell_so_long|So long.
refusal_no|No.
refusal_nope|Nope.
refusal_negative|Negative.
refusal_sorry|Sorry.
refusal_no_way|No way.
refusal_cant_do_that|Can't do that.
refusal_not_a_chance|Not a chance.
refusal_not_for_me|Not for me.
refusal_nah|Nah.
refusal_not_happening|Not happening.
refusal_never|Never.
miscellaneous_game_over|Game over!
miscellaneous_hmm|Hmm...
miscellaneous_huh|Huh?
miscellaneous_what|What?
miscellaneous_wow|Wow!
miscellaneous_low_on_health|Low on health
miscellaneous_were_under_attack|We're under attack!
miscellaneous_enemy_spotted|Enemy spotted!
miscellaneous_get_ready|Get ready!
miscellaneous_incoming|Incoming!
miscellaneous_incoming_enemy|Incoming enemy!
miscellaneous_new_high_score|New high score!
miscellaneous_new_record|New record!
miscellaneous_new_personal_best|New personal best!
miscellaneous_new_best_time|New best time!
